Column 1,user_id,signup_time,purchase_time,signup_time-purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address,N[device_id]
125868,49657,04/02/2015 7:27 AM,04/19/2015 3:04 PM,24937,53,HDEDUJYTIIZEB,Ads,Chrome,F,18,2673858462,1
77801,98801,01/01/2015 5:21 PM,01/01/2015 5:21 PM,0,59,OGBNHQHDZLGFZ,Ads,Chrome,M,33,1443895590,13
65829,164600,01/02/2015 7:41 PM,01/02/2015 7:41 PM,0,20,YLYQMWHVSWNVH,Direct,IE,M,31,3347934905,10
5093,280346,02/01/2015 12:38 PM,03/05/2015 2:17 AM,45459,39,RGFASYCLIRVIJ,Direct,Chrome,M,45,3221274669,1
36004,32845,05/24/2015 9:12 PM,08/10/2015 8:19 AM,111547,67,KMCEIMMYBMGTM,SEO,Safari,F,25,4010421024,1
23429,5269,03/09/2015 11:25 AM,05/21/2015 3:11 AM,104626,107,HWBLTLMZMPTOE,Ads,Safari,M,24,3557639535,1
135249,237672,08/15/2015 9:45 PM,09/03/2015 8:45 PM,27300,39,VIXJCMHNRGQBL,Direct,FireFox,M,28,2845049572,1
29288,347270,03/31/2015 2:42 AM,04/23/2015 8:07 AM,33445,45,VEQVKQNNETUQZ,Ads,Chrome,M,21,1198222407,1
138387,8297,03/05/2015 7:24 PM,06/10/2015 2:24 PM,139380,41,YFRTUMWNTWTEQ,SEO,Safari,M,32,4208327057,1
81584,66433,04/28/2015 11:29 PM,05/20/2015 5:09 AM,30580,80,GHKELYIUOXNCV,SEO,Chrome,M,20,805124272,1
7110,244205,01/12/2015 8:40 AM,01/12/2015 8:40 AM,0,34,VAHYDLSLVQCWY,Direct,Chrome,M,39,16669225.67,8
127433,205175,03/20/2015 2:43 PM,04/24/2015 3:42 AM,49739,14,VSLGPHQCMBIMM,SEO,IE,M,31,4071651600,1
4812,93401,06/14/2015 4:51 PM,09/07/2015 11:35 AM,122084,40,NEPAMDRAKWKGW,SEO,Chrome,F,32,4018364609,1
114338,230769,01/22/2015 6:59 AM,02/13/2015 12:39 AM,31300,43,JTJCTTNNMEIXC,Ads,FireFox,F,33,3917779154,1
68556,59097,02/25/2015 9:26 AM,05/11/2015 9:52 AM,108026,29,OICTGGQAXFIBK,SEO,IE,M,29,2753164862,1
114057,319878,06/18/2015 7:55 PM,09/11/2015 4:20 PM,122185,34,MFFMWOEHBDVVZ,Ads,Safari,M,23,223142218.7,1
113786,77413,03/27/2015 2:57 PM,05/24/2015 9:28 PM,83911,64,YJULVBBOMANRS,SEO,Safari,M,36,454383011.9,1
82121,69511,01/22/2015 3:26 AM,05/03/2015 4:20 AM,145494,12,EDCHGRWYXNVDV,Direct,Chrome,F,33,4163470900,1
107707,186977,04/25/2015 2:36 PM,07/15/2015 3:04 AM,115948,38,EFYGTSCKCLCJH,SEO,Safari,M,41,3283621060,1
67655,96950,07/30/2015 12:08 PM,09/12/2015 11:10 PM,64022,25,EKCWDGLQBSWWC,Direct,FireFox,F,23,4212969403,2
11881,252903,03/23/2015 3:48 PM,06/06/2015 3:44 PM,107996,29,BEJVEAEWDLZYT,Ads,Chrome,M,33,1366847470,2
115511,358508,04/12/2015 11:31 AM,08/02/2015 6:24 PM,161693,19,UQGBLDUCCWMYY,Ads,Chrome,M,31,4124420547,1
68827,4862,01/02/2015 10:11 AM,01/02/2015 10:12 AM,1,16,TPDHPKWICQKTG,Direct,FireFox,M,28,3773850755,9
125870,262031,07/17/2015 12:05 PM,10/11/2015 11:52 AM,123827,41,XIKPCEVWHITJK,Ads,Chrome,F,19,4271107824,1
13557,15323,08/18/2015 3:39 AM,10/29/2015 12:44 AM,103505,24,WLEHKAGQTOOZA,SEO,Chrome,M,29,420526366.4,1
75880,311692,02/23/2015 4:18 PM,03/14/2015 10:00 PM,27702,42,FYEBKZBSKXNXC,Ads,Chrome,M,45,3980650620,1
42974,162111,05/26/2015 10:54 PM,07/03/2015 12:18 AM,53364,55,MFREFILHQSSQV,SEO,FireFox,M,38,1274702227,1
88378,281875,08/09/2015 8:57 AM,08/12/2015 4:19 PM,4762,77,VOFCNJJIBJLOS,SEO,Chrome,M,27,1699409767,1
80423,53534,04/21/2015 6:11 AM,07/11/2015 12:14 AM,116283,45,DKAAWMLHKTECY,SEO,Safari,M,26,3806727436,1
82283,218402,08/04/2015 11:20 PM,09/03/2015 3:34 PM,42734,40,RNUISIYMMQJFI,Ads,IE,F,48,460862283.8,1
58858,268292,08/17/2015 10:17 PM,10/20/2015 12:57 PM,91600,40,FPFGNNJDGJIUI,SEO,Safari,F,38,1588897182,2
122902,388407,03/25/2015 6:05 AM,07/03/2015 4:50 AM,143925,11,TJRVRYCQYFMSJ,Ads,FireFox,F,28,4094752182,1
123466,41692,01/12/2015 12:31 AM,04/14/2015 10:31 AM,133080,40,ZSVOXPMNCMDLL,SEO,Chrome,F,39,1537874633,1
87989,291621,08/01/2015 7:53 AM,11/27/2015 2:56 PM,170343,74,BFQKGRLDOXTQD,SEO,FireFox,F,34,754620169.5,1
61036,291701,02/02/2015 11:36 AM,05/29/2015 10:40 PM,167704,54,IHKTUDDEWJYOY,Direct,Safari,F,21,1507507412,1
41871,240872,01/10/2015 6:53 PM,03/27/2015 11:26 PM,109713,34,BXMQYHRZUKNIU,Ads,Chrome,F,26,209180597.1,6
13483,137903,02/03/2015 7:36 PM,03/29/2015 11:08 PM,77972,21,WAXXDKFLWSUUP,SEO,IE,F,22,4138429109,1
128523,174238,04/07/2015 2:33 PM,05/27/2015 1:28 AM,71215,14,JLYIFKOIVBVVY,SEO,Chrome,M,35,2132939964,1
95487,249559,06/12/2015 9:21 AM,07/27/2015 2:36 AM,64395,12,KXMRBHBFTBCYN,Ads,FireFox,M,32,3526358493,1
8112,99078,02/04/2015 12:34 AM,05/22/2015 4:29 PM,155035,57,TTMWKBPPHJDBN,SEO,FireFox,M,28,2970156771,1
92990,252777,08/04/2015 4:54 PM,08/05/2015 11:06 AM,1092,9,VAXZIMZWZITQP,SEO,FireFox,F,51,1026308237,1
82885,32602,01/02/2015 1:22 AM,01/02/2015 1:22 AM,0,46,QKHUOLDJYNZLR,Ads,Chrome,M,24,1257547173,7
76852,213284,06/08/2015 12:10 PM,07/16/2015 6:59 AM,54409,27,SDTPGZSYFJLUS,Ads,IE,M,39,127204148.4,1
111427,329610,05/09/2015 3:32 AM,08/10/2015 12:04 AM,133712,19,XQHPFHSMHETNR,SEO,IE,M,27,2215988493,1
62306,177737,01/02/2015 10:12 AM,01/02/2015 10:12 AM,0,16,TPDHPKWICQKTG,Direct,FireFox,M,28,3773850755,9
13814,335985,07/14/2015 9:31 AM,09/27/2015 12:20 AM,107449,26,ZYVZKJJISDAGE,SEO,IE,F,32,1262759036,1
108685,276326,06/07/2015 2:05 PM,07/12/2015 4:11 PM,50526,19,ZDKOTQZEREWAV,Ads,Safari,F,27,1872479031,1
47031,228471,07/26/2015 9:49 PM,10/22/2015 7:10 AM,125841,24,MUUIFTPDMCMAI,Ads,Chrome,F,25,875660397,1
123101,191424,06/28/2015 5:07 PM,07/03/2015 8:59 AM,6712,43,LHOMYAZPEBWIR,SEO,Chrome,F,41,1162561255,1
49925,282571,01/25/2015 12:24 PM,04/27/2015 4:05 AM,131981,116,HNBWLSVEQIVRE,SEO,Safari,M,26,591205836.2,1
149562,242646,02/01/2015 12:46 PM,05/02/2015 3:31 PM,129765,41,ZUEMGZAMOCQAH,Direct,Safari,M,43,2959439428,1
122291,152658,08/11/2015 5:47 AM,10/12/2015 9:54 PM,90247,36,FCGVOKDYWVJFS,SEO,Chrome,M,34,1565690862,2
54587,133610,05/31/2015 7:21 AM,06/27/2015 8:06 AM,38925,23,CVWPGOFCSKZII,Ads,FireFox,M,23,3558936835,2
74226,233588,08/03/2015 6:30 AM,11/23/2015 1:27 AM,160977,12,XVPOCVSQLONNG,SEO,Chrome,M,41,2722785345,2
106698,179500,01/31/2015 4:27 PM,05/31/2015 1:10 PM,172603,84,GYRXXGECESWUA,SEO,Safari,M,22,3183164600,1
4254,314725,07/06/2015 4:39 AM,09/18/2015 4:12 AM,106533,13,BJOFPGXXCTBUW,Direct,FireFox,M,29,3653725578,2
100033,380325,05/24/2015 5:39 AM,06/30/2015 4:52 PM,53953,26,NJBFDXRETAJSZ,SEO,Chrome,F,19,86633868.9,1
149504,375165,05/10/2015 12:09 PM,08/25/2015 12:16 PM,154087,49,MUDIZRMVILGXG,Ads,Chrome,F,22,73064271.74,1
6892,202930,03/03/2015 6:07 PM,06/08/2015 7:13 PM,139746,26,SBYOIAQFGZIPY,Ads,IE,M,36,173156816.1,1
83246,216664,01/09/2015 4:45 PM,04/10/2015 12:08 PM,130763,37,MWCEFQRXAPCCB,SEO,Safari,M,32,1059020848,1
60852,201924,06/21/2015 5:49 PM,08/25/2015 8:56 AM,93067,35,WIQKWABHYFPZO,SEO,Safari,F,34,554945641.3,1
132697,132838,04/29/2015 3:36 AM,06/08/2015 8:49 AM,57913,46,BESLQWGPQXQXH,Ads,IE,F,37,4151271727,1
86814,225963,01/18/2015 2:22 PM,03/10/2015 3:45 AM,72803,31,INRYHCGHGRGPB,SEO,Safari,M,20,10391777.47,1
59595,204499,07/06/2015 7:56 AM,08/09/2015 8:14 PM,49698,39,LTZQJWCHJKRSU,Direct,Chrome,F,35,3018293841,1
99851,3617,01/02/2015 7:45 AM,03/08/2015 8:15 PM,94350,66,OOOSOXXINZBFC,SEO,Chrome,F,43,3832232088,1
38588,321907,01/01/2015 4:21 PM,03/25/2015 4:25 AM,118804,33,KKFPICEIYYVJV,Ads,Safari,M,35,1396715673,1
142810,235589,01/23/2015 1:20 PM,05/05/2015 3:58 AM,146318,54,XMTYFJSXIMVUA,Ads,Opera,F,33,3436409546,1
40998,74688,02/01/2015 6:16 PM,03/14/2015 3:49 AM,58173,29,EMVXCDOITRKYV,Direct,Chrome,M,34,984848317.4,1
132295,305912,05/20/2015 3:24 PM,05/25/2015 6:57 AM,6693,69,KXHUEDAVAWHVP,Ads,Safari,M,29,1310176450,1
923,373139,01/15/2015 10:45 AM,03/18/2015 10:47 PM,90002,21,DOFKBOILFYYQW,Direct,Chrome,M,34,1827948210,1
41303,398668,07/26/2015 11:00 AM,09/18/2015 10:43 PM,78463,18,UUYUHBYVGUKHB,Ads,IE,M,33,356227920.4,1
6839,362393,06/04/2015 6:00 AM,07/03/2015 1:09 AM,41469,25,JFGMRCMYIAIVF,SEO,FireFox,M,32,1906781919,1
6981,249592,01/20/2015 2:19 AM,04/02/2015 6:45 PM,104666,63,FPIMLYYTZMUWX,SEO,Safari,F,41,2586195297,1
86483,287456,02/22/2015 11:07 AM,04/14/2015 6:59 PM,73912,19,SIVLCJUTQAQQR,Ads,IE,F,28,2131974763,1
3070,150849,03/20/2015 6:25 PM,07/16/2015 12:29 PM,169564,23,ZICGDXHVXJMPP,Direct,IE,M,37,1745429728,1
59770,53219,05/06/2015 6:27 AM,07/18/2015 11:15 AM,105408,22,XOKDEPIBXNBHE,SEO,Safari,M,35,3612115413,1
150526,19322,02/04/2015 12:59 AM,03/21/2015 1:57 AM,64858,9,VTDASAOYPMPWG,Ads,IE,F,40,3670666097,1
70993,85011,02/01/2015 6:14 AM,03/08/2015 2:31 AM,50177,15,YFVCFDZVUTZAR,SEO,Chrome,F,44,209982589.8,1
116634,133780,04/20/2015 1:48 PM,06/05/2015 6:00 AM,65772,94,ADTAJNUAMMMKF,Ads,FireFox,M,48,1773808766,1
24226,283489,08/07/2015 8:34 PM,11/13/2015 10:38 PM,141244,41,ZQQOELVSQKDNT,Direct,Chrome,M,31,1510510192,1
113020,200,01/13/2015 5:47 AM,04/10/2015 3:47 AM,125160,61,NVSQGPYGFSQKJ,Direct,FireFox,M,23,3576503169,1
4382,205247,05/24/2015 8:54 PM,06/23/2015 9:16 AM,42502,41,ELZQZRIOLPNPQ,Ads,IE,M,42,3409506953,1
110143,57308,03/15/2015 8:54 AM,06/27/2015 10:23 PM,150569,11,DOXXBUAWPCXRM,Ads,Chrome,F,22,3353649916,1
70877,63781,04/27/2015 4:56 AM,07/14/2015 8:31 PM,113255,37,XUHAOFUWQSATQ,Direct,Chrome,M,34,2518462758,1
52136,203744,03/31/2015 8:55 AM,06/05/2015 9:52 AM,95097,10,VYCIQDPOHEOXR,SEO,Chrome,F,21,1482517912,1
72451,268733,04/13/2015 1:41 AM,07/25/2015 10:43 AM,148862,67,MCFAUCSYYLOST,Direct,IE,M,22,3661367101,1
57324,391876,06/24/2015 12:12 PM,10/13/2015 8:58 PM,160366,13,AFIZLTUFHYOGS,SEO,IE,M,23,621438501.5,1
16197,97897,01/16/2015 7:50 PM,03/07/2015 4:48 AM,71098,20,OGBHRXXVWAPOM,Ads,FireFox,M,23,2428103328,1
41093,191074,04/26/2015 9:19 PM,05/30/2015 4:53 AM,47974,14,HTHPOWKUPDFIQ,SEO,Chrome,M,41,1113763646,1
36874,26267,08/16/2015 1:11 AM,10/06/2015 7:10 PM,74519,34,DTDGGIDWATTXP,Ads,FireFox,M,44,3941802659,1
82858,72856,04/18/2015 1:50 AM,07/26/2015 6:51 AM,142861,18,ZRGHSLOMQIEYC,Direct,IE,F,38,1516372552,1
93914,332092,06/12/2015 6:00 PM,08/03/2015 12:24 AM,73824,79,FPEJJPJRPTRKM,Ads,IE,F,20,3943256137,1
43944,91563,08/03/2015 5:22 PM,10/15/2015 7:17 AM,104515,45,TGQPBGLMGEVXT,Ads,Chrome,M,33,3482311372,1
139193,242293,01/24/2015 10:35 PM,05/03/2015 11:51 AM,141916,21,LHGFGUJZUXEFN,Ads,Chrome,F,29,2080427378,1
65214,153986,01/23/2015 9:59 AM,05/19/2015 9:23 AM,167004,50,YKXJVRKMCFZMS,SEO,Safari,M,33,570324449.4,1
113897,236471,01/20/2015 7:22 PM,04/21/2015 3:30 AM,130088,28,WLETJHRBZVGMF,SEO,Safari,M,37,2847959636,1
35203,94461,05/16/2015 4:35 AM,07/10/2015 7:18 PM,80083,39,JKLZECWIJHSCI,Ads,FireFox,F,32,1792806984,1
6967,230106,08/05/2015 3:13 PM,09/18/2015 5:40 AM,62787,15,WQWHPNKEUCYCY,SEO,FireFox,F,27,2494029332,1
82184,66267,04/03/2015 6:34 AM,06/08/2015 10:08 AM,95254,19,MMGDAFOUDQVLE,SEO,Safari,M,27,1831481181,2
123634,374306,07/25/2015 11:16 AM,10/26/2015 7:33 AM,133697,14,YWJDMNXPBEOAS,Direct,IE,M,28,2640251165,1
125027,102235,08/10/2015 1:18 AM,09/13/2015 8:34 AM,49396,28,WUIEIZVSSHUIB,Ads,IE,M,37,732859158.8,1
148985,279836,01/10/2015 1:26 PM,01/10/2015 1:27 PM,1,76,DAKVYHKIEYRBH,SEO,Chrome,F,48,636104095.2,11
20522,97483,05/26/2015 7:52 PM,06/01/2015 9:12 PM,8720,9,ISIBWHKRUHVCN,Ads,Chrome,M,31,3251658882,1
20659,61989,01/29/2015 5:40 PM,04/18/2015 2:27 AM,112847,28,WOZPNBAEIAFQX,SEO,Chrome,F,45,472799675.3,1
82258,115357,07/29/2015 11:44 AM,09/28/2015 12:38 AM,87174,44,FGGBFVHRKUIFS,Ads,FireFox,M,25,2113547822,1
45233,25564,07/29/2015 10:16 AM,10/06/2015 5:32 PM,99796,11,DDTNCTIYHJBXP,Ads,IE,F,19,3594827347,1
54016,54945,03/29/2015 7:45 PM,06/04/2015 3:08 AM,95483,29,CGODCSDLVISCK,SEO,IE,F,38,1991063855,1
150672,223547,05/12/2015 1:36 PM,07/24/2015 6:25 AM,104689,39,OKXMMMDVURYTD,Ads,IE,M,32,2317044766,1
150480,44013,07/28/2015 2:02 AM,10/09/2015 2:16 PM,105854,23,MISGTDLHFBEPB,Direct,Opera,M,33,1127560481,1
65010,185476,03/05/2015 2:16 AM,04/22/2015 8:41 PM,70225,30,MAGUJEJZRVPAA,Ads,Chrome,M,21,1186876868,1
48279,67601,02/18/2015 4:32 PM,03/28/2015 12:01 AM,53729,43,PZSQELCCIZJFS,Direct,Chrome,M,44,1066121556,1
78220,77953,08/13/2015 9:42 AM,11/13/2015 4:01 PM,132859,36,HCOAVENLKOGCC,SEO,FireFox,M,26,542569982.4,1
23291,366625,01/15/2015 8:12 PM,04/05/2015 5:10 PM,115018,38,RVJEYNJHIUVQQ,Direct,IE,M,20,1935668274,1
28761,197528,07/15/2015 5:35 PM,08/08/2015 10:05 PM,34830,14,RUUXPNNQQPKAK,Ads,FireFox,F,33,1904211992,1
46663,110325,04/15/2015 1:39 AM,05/14/2015 6:51 PM,42792,32,UHFPAYNXPZVCG,SEO,FireFox,M,36,841324912,1
38480,394884,05/25/2015 6:17 AM,09/06/2015 2:53 PM,150276,75,SROIKKERMNWSB,Ads,FireFox,M,30,4283732737,1
121987,33562,05/20/2015 6:03 AM,08/22/2015 5:05 AM,135302,18,VMLPJPDRZUJZZ,Direct,Chrome,M,21,2028550586,1
4107,9326,04/01/2015 6:44 PM,04/17/2015 7:16 PM,23072,65,OREAZUAXMHUOS,SEO,Chrome,M,32,3660461528,1
86961,293975,07/13/2015 2:57 PM,10/24/2015 7:20 AM,147863,11,FXHNWXYEDTYZO,Ads,Safari,M,35,1876119799,1
132101,231503,07/20/2015 8:15 PM,11/17/2015 5:33 PM,172638,19,OHKMXOXAKICMK,Ads,Safari,M,28,814019449.5,1
56544,201694,03/13/2015 9:21 AM,06/17/2015 5:22 PM,138721,43,IGLCEHGJVPRAB,Direct,Chrome,M,40,3285563085,1
110158,370928,07/11/2015 11:21 AM,10/14/2015 10:10 PM,137449,24,SEKPUWDKXWAXA,Ads,Chrome,M,44,2274568726,1
101960,224654,01/30/2015 5:59 PM,04/23/2015 1:10 PM,119231,30,XJVNQAYOEDSNY,Ads,IE,M,37,3572010946,1
28772,36033,01/09/2015 4:34 AM,03/22/2015 3:12 PM,104318,10,FOPCIVKUTYRMJ,Direct,Chrome,M,42,2206716641,2
14435,4342,07/31/2015 3:02 AM,11/01/2015 4:14 PM,134712,28,XOODPFCIPUCDJ,Ads,IE,M,23,2832541399,1
34677,265971,06/02/2015 3:39 AM,09/23/2015 10:07 PM,163828,54,YKWIHHSKFJRCF,SEO,Chrome,F,23,1887644602,1
20888,348354,06/19/2015 3:18 AM,09/22/2015 3:30 AM,136812,41,WCHCEMNEPVLZQ,Ads,FireFox,F,41,43940003.73,1
78771,102317,04/28/2015 7:46 AM,06/14/2015 10:20 AM,67834,55,QUCRGMASEYOJW,Direct,Chrome,F,43,2900519145,1
40299,269209,07/04/2015 1:24 PM,08/24/2015 10:20 PM,73976,69,ZAXQXNOZAWXUC,Ads,IE,F,36,1193137351,1
60544,88832,02/08/2015 5:37 AM,02/17/2015 2:37 AM,12780,57,FVKOMAWVHUWCJ,SEO,Chrome,F,24,954803435,2
22674,120432,04/01/2015 4:08 PM,04/13/2015 9:22 PM,17594,11,KCEJKUKFBWXAB,Direct,Opera,F,36,1555531086,1
77995,233524,03/21/2015 4:29 PM,05/30/2015 12:54 AM,99865,31,FDCKQNQICVSCY,SEO,Safari,M,26,1642820742,1
88894,193239,06/11/2015 9:21 AM,10/09/2015 8:48 AM,172767,18,WZKEZWSANNUPJ,Direct,IE,F,33,998539823.2,1
11014,107669,07/18/2015 8:19 AM,10/14/2015 10:43 PM,127584,40,LCVNLSSHFTYAP,SEO,Chrome,F,35,3091948145,1
55361,215362,08/05/2015 2:23 PM,09/09/2015 12:40 AM,49577,25,NDUJHINPUELUX,SEO,Safari,F,27,3936614034,1
82362,191208,08/06/2015 2:00 PM,08/09/2015 5:19 AM,3799,49,WHWQQYNQJEYDT,SEO,Chrome,F,48,1704622243,1
86541,12975,08/16/2015 5:20 AM,10/07/2015 4:36 AM,74836,71,HVRPEUBQXGGIC,SEO,Chrome,M,24,2917148569,2
100507,356827,04/17/2015 9:15 AM,06/25/2015 4:28 AM,99073,9,VAZBASLCHJHDE,Ads,Chrome,M,20,3901171601,1
116375,183357,01/07/2015 5:59 AM,01/07/2015 5:59 AM,0,35,NWREMPUXZSXWE,SEO,FireFox,F,46,2503225219,6
84070,226411,02/03/2015 6:56 PM,05/03/2015 7:14 PM,128178,42,SRTJZYLUKTALB,Ads,IE,F,24,979183622.7,1
68178,223670,08/10/2015 11:10 AM,10/26/2015 2:58 PM,111108,39,MAEVNDPHBXNZB,Ads,FireFox,M,28,2867389120,2
34018,234303,02/09/2015 2:39 AM,05/17/2015 7:00 PM,140661,11,JHVCURAFANQRI,Ads,FireFox,F,30,518496109.7,1
138416,79109,01/13/2015 2:29 AM,01/13/2015 2:29 AM,0,54,OMLCZGHJCCBDE,Ads,Chrome,M,53,2023843182,10
112840,136810,01/20/2015 1:28 AM,02/05/2015 10:09 PM,24281,12,ERYAFYTJUHZJV,Ads,FireFox,F,52,317549936.6,1
103173,180407,05/03/2015 9:16 AM,05/21/2015 10:30 AM,25994,66,KSAXVUVNXMUCM,Direct,IE,M,24,1016144275,1
150474,287869,01/06/2015 12:10 PM,01/06/2015 12:10 PM,0,81,KPAAACGRQWYIK,Direct,IE,M,24,183974753.2,15
138823,72758,03/24/2015 3:08 PM,07/01/2015 8:29 AM,142161,43,LHYZNPKRXLFVK,SEO,Chrome,F,40,69386199.04,2
1812,292082,08/02/2015 9:16 PM,11/05/2015 2:26 PM,136390,18,ZVVZSZKXSVWVH,Direct,Chrome,F,29,2422397230,1
16558,276181,01/31/2015 7:15 AM,04/25/2015 1:51 PM,121356,27,TRLMZTUIOYHNL,SEO,Safari,F,52,4074140602,1
26110,202602,02/12/2015 8:02 AM,05/06/2015 6:10 PM,120128,29,PBESVEQJXJSUT,Direct,IE,M,37,154858841.8,1
15022,198844,05/25/2015 2:44 PM,09/22/2015 11:54 AM,172630,68,FLMAWXBVXKGEO,Ads,IE,M,39,1352398809,1
90440,334205,07/26/2015 11:28 AM,09/28/2015 4:12 AM,91724,39,DPLIELVYTIJPK,SEO,Safari,M,33,3695889677,1
106652,186895,03/20/2015 4:11 AM,05/03/2015 12:53 PM,63882,25,TMTSOAOWADUDI,SEO,IE,M,26,86567709.6,1
43707,235984,02/02/2015 11:44 AM,03/21/2015 4:33 PM,67969,31,PIMDWUKJOXQAM,Ads,Opera,F,30,131411480.5,1
